product;category
1;2
2;2
3;2
4;2
5;3
6;3
7;3
8;4
9;4
10;4
11;5
12;5
13;5
14;5
15;5
16;5
17;5
18;6
19;6
20;6
21;7
22;7
23;7
24;9
25;9
26;9
27;10
28;10
29;10
30;10
31;10
32;10
33;11
34;11
35;11
36;13
37;13
38;13
39;13
40;13
41;13
42;14
43;14
44;14
45;14
46;14
;
;
;
;
;
52;17
53;17
54;17
55;16
56;16
57;16
58;16
59;19
60;19
61;19
62;19
63;20
64;20
65;20
66;20
67;22
68;22
69;
70;23
71;23
72;23
73;23
74;24
75;24
76;24
77;25
78;25
79;25
80;25
81;25
82;25
83;25
84;
85;26
86;26
87;26
88;27
89;27
90;27
91;28
92;28
93;28
94;29
95;29
96;30
97;30
98;
99;31
100;31
101;31
102;33
103;33
104;
105;34
106;
107;
108;36
109;36
110;
111;37
112;37
113;37
114;37
115;38
116;38
117;38
118;40
119;40
120;40
121;40
122;41
123;41
124;41
125;41
126;41
127;42
128;42
129;42
130;42
131;42
132;42
133;42
134;42
