product;category;
1;2;Jeans
2;2;Jogginghosen
3;2;Winterhosen
4;2;Kurze Hosen
5;3;Winterjacken
6;3;Regenjacken
7;3;Übergangsjacke
8;4;T-Shirt
9;4;Pullover
10;4;Top
11;5;Halbschuhe
12;5;High Heels
13;5;Lederschuhe
14;5;Sneakers
15;5;Sportschuhe
16;5;Turnschuhe
17;5;Winderstiefel
18;6;Shorts
19;6;Strumpfhosen
20;6;Socken
21;7;Mütze
22;7;Handschuhe
23;7;Ohrenwärmer
24;9;Hängende
25;9;Stehende
26;9;Wandleuchten
27;10;Betten
28;10;Küchen
29;10;Regale
30;10;Schränke
31;10;Stühle
32;10;Tische
33;11;Dusche
34;11;WC
35;11;Handtuchhalter
36;13;Beton
37;13;Glaswolle
38;13;Holz
39;13;Pflanzen
40;13;Stein
41;13;Zement
42;14;Bohrmaschinen
43;14;Geräte
44;14;Schraubenzieher
45;14;Zange
46;14;Zollstock
;;Gleitgel
;;Handschellen
;;Klebeband
;;Kondome
;;Pronos
52;17;Bürste
53;17;Haarfarbe
54;17;Kamm
55;16;Bodylotion
56;16;Deo
57;16;Seife
58;16;Shampoo
59;19;Babynahrung
60;19;Kinderwagen
61;19;Schnuller
62;19;Windeln
63;20;Autos
64;20;Figuren
65;20;Plüschtiere
66;20;Brettspiele
67;22;Brei
68;22;Milch
69;;
70;23;Brot
71;23;Kekse
72;23;Kuchen
73;23;Torte
74;24;Konserven
75;24;Tiefkühlgerichte
76;24;Tüten
77;25;Bier
78;25;Harddrinks
79;25;Milch
80;25;Säfte
81;25;Softdrinks
82;25;Wasser
83;25;Wein
84;;
85;26;Salz
86;26;Pfeffer
87;26;Knoblauch
88;27;Käse
89;27;Quark
90;27;Milch
91;28;Äpfel
92;28;Bananen
93;28;Tomaten
94;29;Bierhefe
95;29;Vitamin kram
96;30;Schokolade
97;30;Kekse
98;;
99;31;Fleisch
100;31;Wurst
101;31;Geflügel
102;33;Gestelle
103;33;Gläser
104;;
105;34;Kontaktlinsen
106;;
107;;
108;36;Fachliteratur
109;36;Unterhaltungskram
110;;
111;37;Blöcke
112;37;Klebeband
113;37;Stifte
114;37;Tacker
115;38;Frauenzeitschriften
116;38;Kinderzeitschriften
117;38;Männerzeitschriften
118;40;Kühlschrank
119;40;Trocker
120;40;Ventilator
121;40;Waschmaschiene
122;41;Computer
123;41;Handy Zubehör
124;41;Sim karten
125;41;Telefon
126;41;Verträgen
127;42;Bildschirme
128;42;Kopfhörer
129;42;Maus
130;42;PC Spiele
131;42;Speichermedien
132;42;Tastuatr
133;42;Fernseher
134;42;Kabel
